,,,,,,,,,,,,,,,,,,,
,,,,,,,SCHW,Charles Schwab Corporation (SCHW),US Stock,,,,,,,,Charles Schwab Corporation (SCHW),SCHW,US Stock
,,,,,,,CHTR,Charter Communications (CHTR),US Stock,,,,,,,,Charter Communications (CHTR),CHTR,US Stock
,,,,,,,CHK,Chesapeake Energy (CHK),US Stock,,,,,,,,Chesapeake Energy (CHK),CHK,US Stock
,,,,,,,CVX,Chevron Corp. (CVX),US Stock,,,,,,,,Chevron Corp. (CVX),CVX,US Stock
,,,,,,,CMG,Chipotle Mexican Grill (CMG),US Stock,,,,,,,,Chipotle Mexican Grill (CMG),CMG,US Stock
,,,,,,,CB,Chubb Limited (CB),US Stock,,,,,,,,Chubb Limited (CB),CB,US Stock
,,,,,,,CHD,Church & Dwight (CHD),US Stock,,,,,,,,Church & Dwight (CHD),CHD,US Stock
,,,,,,,CI,CIGNA Corp. (CI),US Stock,,,,,,,,CIGNA Corp. (CI),CI,US Stock
,,,,,,,XEC,Cimarex Energy (XEC),US Stock,,,,,,,,Cimarex Energy (XEC),XEC,US Stock
,,,,,,,CINF,Cincinnati Financial (CINF),US Stock,,,,,,,,Cincinnati Financial (CINF),CINF,US Stock
,,,,,,,CTAS,Cintas Corporation (CTAS),US Stock,,,,,,,,Cintas Corporation (CTAS),CTAS,US Stock
,,,,,,,CSCO,Cisco Systems (CSCO),US Stock,,,,,,,,Cisco Systems (CSCO),CSCO,US Stock
,,,,,,,C,Citigroup Inc. (C),US Stock,,,,,,,,Citigroup Inc. (C),C,US Stock
,,,,,,,CTXS,Citrix Systems (CTXS),US Stock,,,,,,,,Citrix Systems (CTXS),CTXS,US Stock
,,,,,,,CLX,The Clorox Company (CLX),US Stock,,,,,,,,The Clorox Company (CLX),CLX,US Stock
,,,,,,,CME,CME Group Inc. (CME),US Stock,,,,,,,,CME Group Inc. (CME),CME,US Stock
,,,,,,,CMS,CMS Energy (CMS),US Stock,,,,,,,,CMS Energy (CMS),CMS,US Stock
,,,,,,,COH,Coach Inc. (COH),US Stock,,,,,,,,Coach Inc. (COH),COH,US Stock
,,,,,,,KO,The Coca Cola Company (KO),US Stock,,,,,,,,The Coca Cola Company (KO),KO,US Stock
,,,,,,,CTSH,Cognizant Technology Solutions (CTSH),US Stock,,,,,,,,Cognizant Technology Solutions (CTSH),CTSH,US Stock
,,,,,,,CL,Colgate-Palmolive (CL),US Stock,,,,,,,,Colgate-Palmolive (CL),CL,US Stock
,,,,,,,CMCSA,Comcast A Corp (CMCSA),US Stock,,,,,,,,Comcast A Corp (CMCSA),CMCSA,US Stock
,,,,,,,CMA,Comerica Inc. (CMA),US Stock,,,,,,,,Comerica Inc. (CMA),CMA,US Stock
,,,,,,,CAG,ConAgra Foods Inc. (CAG),US Stock,,,,,,,,ConAgra Foods Inc. (CAG),CAG,US Stock
,,,,,,,CXO,Concho Resources (CXO),US Stock,,,,,,,,Concho Resources (CXO),CXO,US Stock
,,,,,,,COP,ConocoPhillips (COP),US Stock,,,,,,,,ConocoPhillips (COP),COP,US Stock
,,,,,,,ED,Consolidated Edison (ED),US Stock,,,,,,,,Consolidated Edison (ED),ED,US Stock
,,,,,,,STZ,Constellation Brands (STZ),US Stock,,,,,,,,Constellation Brands (STZ),STZ,US Stock
,,,,,,,GLW,Corning Inc. (GLW),US Stock,,,,,,,,Corning Inc. (GLW),GLW,US Stock
,,,,,,,COST,Costco Co. (COST),US Stock,,,,,,,,Costco Co. (COST),COST,US Stock
,,,,,,,COTY,"Coty, Inc (COTY)",US Stock,,,,,,,,"Coty, Inc (COTY)",COTY,US Stock
,,,,,,,CCI,Crown Castle International Corp. (CCI),US Stock,,,,,,,,Crown Castle International Corp. (CCI),CCI,US Stock
,,,,,,,CSRA,CSRA Inc. (CSRA),US Stock,,,,,,,,CSRA Inc. (CSRA),CSRA,US Stock
,,,,,,,CSX,CSX Corp. (CSX),US Stock,,,,,,,,CSX Corp. (CSX),CSX,US Stock
,,,,,,,CMI,Cummins Inc. (CMI),US Stock,,,,,,,,Cummins Inc. (CMI),CMI,US Stock
,,,,,,,CVS,CVS Health (CVS),US Stock,,,,,,,,CVS Health (CVS),CVS,US Stock
,,,,,,,DHI,D. R. Horton (DHI),US Stock,,,,,,,,D. R. Horton (DHI),DHI,US Stock
,,,,,,,DHR,Danaher Corp. (DHR),US Stock,,,,,,,,Danaher Corp. (DHR),DHR,US Stock
,,,,,,,DRI,Darden Restaurants (DRI),US Stock,,,,,,,,Darden Restaurants (DRI),DRI,US Stock
,,,,,,,DVA,DaVita Inc. (DVA),US Stock,,,,,,,,DaVita Inc. (DVA),DVA,US Stock
,,,,,,,DE,Deere & Co. (DE),US Stock,,,,,,,,Deere & Co. (DE),DE,US Stock
,,,,,,,DLPH,Delphi Automotive (DLPH),US Stock,,,,,,,,Delphi Automotive (DLPH),DLPH,US Stock
,,,,,,,DAL,Delta Air Lines (DAL),US Stock,,,,,,,,Delta Air Lines (DAL),DAL,US Stock
,,,,,,,XRAY,Dentsply Sirona (XRAY),US Stock,,,,,,,,Dentsply Sirona (XRAY),XRAY,US Stock
,,,,,,,DVN,Devon Energy Corp. (DVN),US Stock,,,,,,,,Devon Energy Corp. (DVN),DVN,US Stock
,,,,,,,DLR,Digital Realty Trust (DLR),US Stock,,,,,,,,Digital Realty Trust (DLR),DLR,US Stock
,,,,,,,DFS,Discover Financial Services (DFS),US Stock,,,,,,,,Discover Financial Services (DFS),DFS,US Stock
,,,,,,,DISCA,Discovery Communications-A (DISCA),US Stock,,,,,,,,Discovery Communications-A (DISCA),DISCA,US Stock
,,,,,,,DISCK,Discovery Communications-C (DISCK),US Stock,,,,,,,,Discovery Communications-C (DISCK),DISCK,US Stock
,,,,,,,DG,Dollar General (DG),US Stock,,,,,,,,Dollar General (DG),DG,US Stock
,,,,,,,DLTR,Dollar Tree (DLTR),US Stock,,,,,,,,Dollar Tree (DLTR),DLTR,US Stock
,,,,,,,D,Dominion Resources (D),US Stock,,,,,,,,Dominion Resources (D),D,US Stock
,,,,,,,DOV,Dover Corp. (DOV),US Stock,,,,,,,,Dover Corp. (DOV),DOV,US Stock
